iter_0000010	iter_0000050	iter_0000100	iter_0000500	iter_0001000	iter_0005000	iter_0010000	iter_0050000	iter_0100000
m	m	0.20	0.00	0.01	0.02	0.02	0.03	0.03
m	m	0.18	0.00	0.01	0.02	0.02	0.03	0.03
m	m	0.18	0.00	0.01	0.02	0.02	0.03	0.03
m	m	0.12	0.00	0.01	0.02	0.02	0.03	0.03
m	m	0.10	0.00	0.01	0.02	0.02	0.03	0.03
m	m	0.03	0.00	0.01	0.01	0.02	0.03	0.03
m	m	0.02	0.00	0.01	0.01	0.02	0.03	0.03
m	m	0.01	0.00	0.01	0.01	0.02	0.02	0.03
m	m	0.01	0.00	0.01	0.01	0.02	0.02	0.02
m	m	0.01	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.21	0.20	0.21	0.21	0.21	0.21
m	m	0.00	0.19	0.20	0.20	0.19	0.20	0.20
m	m	0.00	0.16	0.16	0.18	0.18	0.19	0.19
m	m	0.00	0.15	0.15	0.18	0.13	0.19	0.18
m	m	0.00	0.15	0.13	0.16	0.11	0.13	0.16
m	m	0.00	0.12	0.12	0.15	0.11	0.13	0.13
m	m	0.00	0.11	0.07	0.13	0.11	0.13	0.13
m	m	0.00	0.09	0.07	0.09	0.09	0.10	0.12
m	m	0.00	0.07	0.06	0.07	0.09	0.10	0.10
m	m	0.00	0.07	0.04	0.07	0.08	0.08	0.09
m	m	0.00	0.06	0.03	0.07	0.07	0.07	0.09
m	m	0.00	0.02	0.03	0.07	0.07	0.07	0.09
m	m	0.00	0.02	0.03	0.07	0.06	0.07	0.09
m	m	0.00	0.02	0.03	0.06	0.05	0.07	0.08
m	m	0.00	0.02	0.03	0.05	0.05	0.07	0.07
m	m	0.20	0.02	0.02	0.05	0.04	0.06	0.07
m	m	0.19	0.02	0.02	0.05	0.04	0.06	0.06
m	m	0.16	0.01	0.02	0.05	0.04	0.05	0.06
m	m	0.16	0.01	0.01	0.04	0.03	0.05	0.06
m	m	0.14	0.01	0.01	0.03	0.03	0.04	0.06
m	m	0.09	0.01	0.01	0.03	0.03	0.04	0.04
m	m	0.05	0.01	0.01	0.03	0.03	0.04	0.04
m	m	0.03	0.00	0.01	0.03	0.03	0.04	0.04
m	m	0.01	0.00	0.01	0.02	0.03	0.03	0.04
m	m	0.01	0.00	0.01	0.02	0.02	0.03	0.04
m	m	0.01	0.00	0.01	0.02	0.02	0.03	0.04
m	m	0.01	0.00	0.01	0.02	0.02	0.03	0.04
m	m	0.00	0.00	0.01	0.02	0.02	0.03	0.03
m	m	0.00	0.00	0.01	0.02	0.02	0.03	0.03
m	m	0.00	0.00	0.01	0.02	0.02	0.03	0.03
m	m	0.00	0.00	0.01	0.02	0.02	0.03	0.03
m	m	0.00	0.00	0.00	0.02	0.02	0.03	0.03
m	m	0.00	0.00	0.00	0.01	0.02	0.02	0.03
m	m	0.00	0.00	0.00	0.01	0.02	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.02	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.02	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	m	0.00	0.20	0.20	0.21	0.21	0.21	0.21
m	m	0.00	0.18	0.19	0.20	0.19	0.20	0.20
m	m	0.00	0.17	0.19	0.19	0.19	0.18	0.19
m	m	0.00	0.14	0.18	0.16	0.17	0.17	0.16
m	m	0.00	0.12	0.14	0.13	0.16	0.17	0.16
m	m	0.00	0.09	0.12	0.11	0.15	0.13	0.13
m	m	0.00	0.07	0.11	0.11	0.14	0.13	0.12
m	m	m	0.06	0.07	0.09	0.13	0.13	0.12
m	m	m	0.04	0.05	0.09	0.11	0.11	0.10
m	m	m	0.03	0.04	0.04	0.10	0.10	0.09
m	m	m	0.02	0.04	0.04	0.07	0.10	0.09
m	m	m	0.02	0.03	0.04	0.07	0.08	0.09
