MW	Sv	Se	Mi	nAT	nSK	nBT	nBM	RBN	nDB	nTB	nAB	nH	nC	nN	nO	nS	nCL	nHM	nHet	nX	H%	C%	N%	O%	X%	nCsp3	nCsp2	nCsp	nCIC	nR03	nR04	nR05	nR06	nR07	ARR	nCp	nCs	nCt	nCq	nCrs	nCrt	nCrq	nCar	nCbH	nCb-	nCconj	nR=Cp	nR=Cs	nR=Ct	nR#C-	nRCOOH	nRCOOR	nArCOOR	nRCHO	nArCHO	nRCO	nArCO	nArNH2	nArNHR	nRCN	nArNO2	nROH	nArOH	nOHp	nOHs	nOHt	nROR	nArOR	nSH	nOxiranes	nOxolanes	nFuranes	nPyridines	nHDon	nHAcc	Uc	Ui	Hy	TPSA(Tot)	MLOGP	SAtot
136.21	12.876	21.629	1.123	22	10	22	6	1	0	0	6	12	9	0	1	0	0	0	1	0	54.5	40.9	0.0	4.5	0.0	3	6	0	1	0	0	0	1	0	0.6	2	0	1	0	0	0	0	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2.807	2.0	-0.257	20.23	2.51	230.906
136.16	11.537	18.189	1.116	18	10	18	7	1	1	0	6	8	8	0	2	0	0	0	2	0	44.4	44.4	0.0	11.1	0.0	1	7	0	1	0	0	0	1	0	0.6	1	0	0	0	0	0	0	6	4	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	3.0	2.322	-0.161	37.3	1.49	205.275
108.2	11.161	19.302	1.125	20	8	20	2	1	2	0	0	12	8	0	0	0	0	0	0	0	60.0	40.0	0.0	0.0	0.0	4	4	0	1	0	0	0	1	0	0.0	0	3	1	0	3	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.585	1.585	-0.946	0.0	2.646	193.052
104.16	10.107	15.534	1.104	16	8	16	7	1	1	0	6	8	8	0	0	0	0	0	0	0	50.0	50.0	0.0	0.0	0.0	0	8	0	1	0	0	0	1	0	0.75	0	0	0	0	0	0	0	6	5	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	2.322	-0.946	0.0	2.851	169.979
114.21	11.402	21.513	1.142	22	8	22	0	1	0	0	0	14	7	0	1	0	0	0	1	0	63.6	31.8	0.0	4.5	0.0	7	0	0	1	0	0	0	1	0	0.0	1	5	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0.0	0.0	-0.158	20.23	1.548	208.38
108.15	9.822	15.862	1.117	16	8	16	6	1	0	0	6	8	7	0	1	0	0	0	1	0	50.0	43.8	0.0	6.3	0.0	1	6	0	1	0	0	0	1	0	0.75	0	0	0	0	0	0	0	6	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2.807	2.0	-0.828	9.23	1.859	168.676
132.18	11.305	21.284	1.149	21	9	21	0	1	0	0	0	12	6	0	3	0	0	0	3	0	57.1	28.6	0.0	14.3	0.0	6	0	0	1	0	0	1	0	0	0.0	3	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	1	3	0.0	0.0	-0.001	38.69	-0.115	216.408
150.24	14.402	24.513	1.125	25	11	25	6	2	0	0	6	14	10	0	1	0	0	0	1	0	56.0	40.0	0.0	4.0	0.0	4	6	0	1	0	0	0	1	0	0.545	2	1	1	0	0	0	0	6	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	2.807	2.0	-0.294	20.23	2.545	266.459
164.22	14.59	23.956	1.121	24	12	25	6	2	0	0	6	12	10	0	2	0	0	0	2	0	50.0	41.7	0.0	8.3	0.0	4	6	0	2	0	0	1	1	0	0.462	0	1	0	0	0	0	0	6	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2.807	2.0	-0.807	18.46	1.678	225.899
168.25	16.161	24.302	1.1	25	13	26	12	2	0	0	12	12	13	0	0	0	0	0	0	0	48.0	52.0	0.0	0.0	0.0	1	12	0	2	0	0	0	2	0	0.857	0	1	0	0	0	0	0	12	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7	2.807	-0.972	0.0	4.148	244.921
169.24	15.655	23.52	1.107	24	13	25	12	2	0	0	12	11	12	1	0	0	0	0	1	0	45.8	50.0	4.2	0.0	0.0	1	11	0	2	0	0	0	2	0	0.857	0	1	0	0	0	0	0	11	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3.7	2.807	-0.897	12.89	2.467	239.602
170.22	15.349	22.745	1.099	23	13	24	12	2	0	0	12	10	12	0	1	0	0	0	1	0	43.5	52.2	0.0	4.3	0.0	0	12	0	2	0	0	0	2	0	0.857	0	0	0	0	0	0	0	12	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3.7	2.807	-0.897	9.23	3.395	233.96
164.22	14.59	23.956	1.121	24	12	24	7	4	1	0	6	12	10	0	2	0	0	0	2	0	50.0	41.7	0.0	8.3	0.0	3	7	0	1	0	0	0	1	0	0.5	1	1	0	0	0	0	0	6	5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3.0	2.322	-0.807	26.3	2.386	251.108
210.29	19.402	29.513	1.104	30	16	31	13	4	1	0	12	14	15	0	1	0	0	0	1	0	46.7	50.0	0.0	3.3	0.0	2	13	0	2	0	0	0	2	0	0.706	0	2	0	0	0	0	0	12	10	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3.807	3.0	-0.917	17.07	3.571	301.277
